ID,Group,Time,Weight
1,1,WD1,240
1,1,WD8,250
1,1,WD15,255
1,1,WD22,260
1,1,WD29,262
1,1,WD36,258
1,1,WD43,266
1,1,WD44,266
1,1,WD50,265
1,1,WD57,272
1,1,WD64,278
2,1,WD1,225
2,1,WD8,230
2,1,WD15,230
2,1,WD22,232
2,1,WD29,240
2,1,WD36,240
2,1,WD43,243
2,1,WD44,244
2,1,WD50,238
2,1,WD57,247
2,1,WD64,245
3,1,WD1,245
3,1,WD8,250
3,1,WD15,250
3,1,WD22,255
3,1,WD29,262
3,1,WD36,265
3,1,WD43,267
3,1,WD44,267
3,1,WD50,264
3,1,WD57,268
3,1,WD64,269
4,1,WD1,260
4,1,WD8,255
4,1,WD15,255
4,1,WD22,265
4,1,WD29,265
4,1,WD36,268
4,1,WD43,270
4,1,WD44,272
4,1,WD50,274
4,1,WD57,273
4,1,WD64,275
5,1,WD1,255
5,1,WD8,260
5,1,WD15,255
5,1,WD22,270
5,1,WD29,270
5,1,WD36,273
5,1,WD43,274
5,1,WD44,273
5,1,WD50,276
5,1,WD57,278
5,1,WD64,280
6,1,WD1,260
6,1,WD8,265
6,1,WD15,270
6,1,WD22,275
6,1,WD29,275
6,1,WD36,277
6,1,WD43,278
6,1,WD44,278
6,1,WD50,284
6,1,WD57,279
6,1,WD64,281
7,1,WD1,275
7,1,WD8,275
7,1,WD15,260
7,1,WD22,270
7,1,WD29,273
7,1,WD36,274
7,1,WD43,276
7,1,WD44,271
7,1,WD50,282
7,1,WD57,281
7,1,WD64,284
8,1,WD1,245
8,1,WD8,255
8,1,WD15,260
8,1,WD22,268
8,1,WD29,270
8,1,WD36,265
8,1,WD43,265
8,1,WD44,267
8,1,WD50,273
8,1,WD57,274
8,1,WD64,278
9,2,WD1,410
9,2,WD8,415
9,2,WD15,425
9,2,WD22,428
9,2,WD29,438
9,2,WD36,443
9,2,WD43,442
9,2,WD44,446
9,2,WD50,456
9,2,WD57,468
9,2,WD64,478
10,2,WD1,405
10,2,WD8,420
10,2,WD15,430
10,2,WD22,440
10,2,WD29,448
10,2,WD36,460
10,2,WD43,458
10,2,WD44,464
10,2,WD50,475
10,2,WD57,484
10,2,WD64,496
11,2,WD1,445
11,2,WD8,445
11,2,WD15,450
11,2,WD22,452
11,2,WD29,455
11,2,WD36,455
11,2,WD43,451
11,2,WD44,450
11,2,WD50,462
11,2,WD57,466
11,2,WD64,472
12,2,WD1,555
12,2,WD8,560
12,2,WD15,565
12,2,WD22,580
12,2,WD29,590
12,2,WD36,597
12,2,WD43,595
12,2,WD44,595
12,2,WD50,612
12,2,WD57,618
12,2,WD64,628
13,3,WD1,470
13,3,WD8,465
13,3,WD15,475
13,3,WD22,485
13,3,WD29,487
13,3,WD36,493
13,3,WD43,493
13,3,WD44,504
13,3,WD50,507
13,3,WD57,518
13,3,WD64,525
14,3,WD1,535
14,3,WD8,525
14,3,WD15,530
14,3,WD22,533
14,3,WD29,535
14,3,WD36,540
14,3,WD43,525
14,3,WD44,530
14,3,WD50,543
14,3,WD57,544
14,3,WD64,559
15,3,WD1,520
15,3,WD8,525
15,3,WD15,530
15,3,WD22,540
15,3,WD29,543
15,3,WD36,546
15,3,WD43,538
15,3,WD44,544
15,3,WD50,553
15,3,WD57,555
15,3,WD64,548
16,3,WD1,510
16,3,WD8,510
16,3,WD15,520
16,3,WD22,515
16,3,WD29,530
16,3,WD36,538
16,3,WD43,535
16,3,WD44,542
16,3,WD50,550
16,3,WD57,553
16,3,WD64,569
